step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
90.0,139,5162.0,29.0,2.2262196970244337,51,1850.0,0.06785681139520533,36,1468.0,0.050136240274856546,21,794.0,0.1803393757885609,31,1059.0,0.21101410279033878,139,5171.0
95.0,148,5886.0,31.142857142857142,2.3409887157821787,53,2112.0,0.09257965640788132,36,1648.0,0.15448013298240237,22,899.0,0.24035261725892762,37,1232.0,0.11829370470198886,148,5891.0
100.0,157,6656.0,34.84816753926702,1.819552541216913,56,2384.0,0.06943803360690266,36,1826.0,0.0908886147250216,25,1016.0,0.13604568860574065,40,1431.0,0.10192095832983461,157,6657.0
105.0,167,7462.0,38.07142857142857,1.680625862551403,58,2667.0,0.04710077808865874,38,2012.0,0.04103443088053129,28,1147.0,0.12025264561007103,43,1637.0,0.14920755379390538,167,7463.0
110.0,169,8304.0,41.3134328358209,1.7718815954857392,58,2957.0,0.052679084157422874,38,2202.0,0.10604238513629238,29,1290.0,0.1603673879482911,44,1856.0,0.11904009479871014,169,8305.0
115.0,170,8895.0,42.156398104265406,2.1704285055696753,60,3253.0,0.0887969186884948,35,2292.0,0.1754907138692955,29,1435.0,0.16667359868819112,46,2082.0,0.11933152117491391,170,9062.0
120.0,167,9393.0,43.285714285714285,2.1751164538177203,60,3553.0,0.05766185461288968,33,2297.0,0.16470161855312423,28,1561.0,0.19262472596020266,46,2311.0,0.08748881420985957,167,9722.0
125.0,172,10118.0,45.782805429864254,2.012550524693786,61,3857.0,0.05852380802872362,35,2256.0,0.08592409272304223,29,1673.0,0.1127728490273554,47,2546.0,0.10498016628695621,172,10332.0
130.0,176,10655.0,48.65296803652968,1.748407391107158,60,4050.0,0.024001176678954295,34,2416.0,0.10749082251343003,33,1829.0,0.02846004216670931,49,2786.0,0.07781859989407393,176,11081.0
135.0,171,10866.0,49.39090909090909,1.8561396567770032,58,4159.0,0.069480717257752,32,2556.0,0.1644542266460997,32,1876.0,0.05933854486459768,49,3031.0,0.08642735882434398,171,11622.0
140.0,172,11168.0,50.763636363636365,2.114340139447294,55,4220.0,0.0766985923928591,39,2719.0,0.19970924942353735,28,1797.0,0.08831236961553617,50,3282.0,0.0703081960961218,172,12018.0
145.0,171,11546.0,51.544642857142854,1.9216856676065341,52,4460.0,0.06853810842881083,42,2915.0,0.1905574390590365,25,1927.0,0.09083109045622989,52,3539.0,0.04860016190436294,171,12841.0
150.0,177,12118.0,53.14912280701754,1.627102495243834,54,4706.0,0.06225804474423349,46,3132.0,0.11981293727669312,24,2039.0,0.1285547650195756,53,3804.0,0.05161714145116723,177,13681.0
155.0,190,12881.0,53.89539748953975,1.851655854206584,57,4985.0,0.0569624195821201,51,3378.0,0.11246918517877952,28,2171.0,0.1676027288640037,54,4070.0,0.06263595252071884,190,14604.0
