step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
455.0,78,23938.0,268.96629213483146,1.4778586386782964,78,23938.0,0.07316650881097919,78,23938.0
460.0,78,24328.0,282.8837209302326,1.0958576708227497,78,24328.0,0.041235064148308714,78,24328.0
465.0,78,24718.0,274.64444444444445,1.5383442163865924,78,24718.0,0.06843567245062099,78,24718.0
470.0,78,25108.0,288.5977011494253,1.2628675684075596,78,25108.0,0.04127788626742715,78,25108.0
475.0,78,25498.0,289.75,1.4350340114045195,78,25498.0,0.06527169744705436,78,25498.0
480.0,78,25888.0,301.0232558139535,1.147831259787771,78,25888.0,0.042535172847245555,78,25888.0
485.0,76,26198.0,297.70454545454544,1.5079871271117191,76,26198.0,0.05956576338937779,76,26198.0
490.0,77,26581.0,309.0813953488372,1.084591422232671,77,26581.0,0.04715745208847188,77,26581.0
495.0,80,26979.0,306.57954545454544,0.8137881042529682,80,26979.0,0.03362362695352612,80,26979.0
500.0,78,27342.0,310.70454545454544,0.8423224888806972,78,27362.0,0.04918954934130771,78,27362.0
505.0,76,27718.0,307.97777777777776,1.6517406042588714,76,27720.0,0.05494879441155655,76,27720.0
