step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
445.0,1,1.0,0.027777777777777776,7.582452031169613,1,379.0,0.4662063045216556,1,379.0
450.0,5,19.0,0.475,7.07664788119782,5,366.0,0.3880798196324911,5,366.0
455.0,11,64.0,1.5609756097560976,6.277863366628386,11,411.0,0.29192202189106736,11,411.0
460.0,18,140.0,3.3333333333333335,3.704789719372568,18,487.0,0.1665465152259421,18,487.0
465.0,24,247.0,5.613636363636363,2.6989403935203664,24,594.0,0.12399674456581271,24,594.0
470.0,30,383.0,8.906976744186046,1.829328712695574,30,731.0,0.05456824141922306,30,731.0
475.0,31,388.0,9.023255813953488,1.832005552092778,31,788.0,0.05675918767913091,31,788.0
480.0,23,290.0,6.744186046511628,3.69908325771041,23,667.0,0.13751279817794257,23,667.0
485.0,16,217.0,5.046511627906977,5.598949335412011,16,521.0,0.22530431160835185,16,521.0
490.0,7,86.0,2.15,6.560233725403616,7,415.0,0.2912101254154634,7,415.0
495.0,4,42.0,1.1666666666666667,8.209462070398125,4,337.0,0.4478024541339705,4,337.0
500.0,5,67.0,1.9142857142857144,8.743137463828313,5,245.0,0.49185581816343105,5,245.0
505.0,2,2.0,0.05555555555555555,7.972133440206402,2,217.0,0.4797758940416908,2,217.0
510.0,7,24.0,0.7058823529411765,6.8354409605678885,7,202.0,0.34534532885987207,7,202.0
515.0,14,78.0,2.1666666666666665,4.902225739377176,14,256.0,0.24295204453282152,14,256.0
520.0,19,163.0,4.17948717948718,2.9046965465859946,19,341.0,0.13598792156748893,19,341.0
525.0,26,281.0,7.025,1.5361156854392877,26,460.0,0.09702610600188702,26,460.0
530.0,26,287.0,6.674418604651163,1.7229027556261223,26,515.0,0.09173973088949987,26,515.0
535.0,24,223.0,5.309523809523809,3.0981623050828673,24,449.0,0.10047072906455419,24,449.0
540.0,18,184.0,4.27906976744186,4.759970258656908,18,397.0,0.1626308192980829,18,397.0
545.0,9,107.0,2.6097560975609757,6.5533107412935285,9,367.0,0.29971918873160974,9,367.0
550.0,4,60.0,1.5384615384615385,8.426295940650801,4,307.0,0.49642072741345955,4,307.0
555.0,0,0.0,0.0,8.18105565804152,0,246.0,0.49852392906717974,0,246.0
560.0,5,15.0,0.40540540540540543,7.131665782922687,5,228.0,0.37313264993323897,5,228.0
565.0,12,61.0,1.6486486486486487,5.28523215611855,12,274.0,0.241098108655022,12,274.0
570.0,18,139.0,3.5641025641025643,3.5643991853827877,18,352.0,0.1624277591427393,18,352.0
